feature,importance
recency_days,0.2895914117137684
last_visit_days_ago,0.22188624599482512
monetary_180d,0.08966478884693017
frequency_180d,0.05992709894819407
category_diversity_180d,0.047819115024097865
product_views_30d,0.045566104906319495
days_since_signup,0.03560360862924213
avg_discount_pct_180d,0.0299533070999233
sessions_30d,0.027672164078579566
cart_adds_30d,0.016158297422529274
avg_rating_180d,0.013203584817345642
email_opens_30d,0.012714859380780331
wishlist_adds_30d,0.011401126066907645
avg_resolution_hours_90d,0.011352181411919139
return_rate_180d,0.009994944509940745
abandoned_carts_30d,0.007870591353852801
campaign_clicks_30d,0.006527878096363865
negative_ticket_rate_90d,0.005743243437764948
ticket_count_90d,0.004921061022490646
age_group_25-34,0.0038454344762359153
loyalty_tier_None,0.0038098222445355143
city_tier_Tier 1,0.003728233490272478
city_tier_Tier 2,0.003254404086447447
preferred_category_Skin Care,0.00296559508680792
acquisition_channel_Instagram,0.002849853932842555
marketing_consent_No,0.002744269646226549
marketing_consent_Yes,0.0027141873805788612
preferred_category_Makeup,0.0024806494458525555
acquisition_channel_Marketplace,0.0022113429127249996
acquisition_channel_Organic,0.002163248136612215
preferred_category_Hair Care,0.002010672631296604
preferred_category_Baby Care,0.0020059997746894234
age_group_18-24,0.0018828624180066244
loyalty_tier_Silver,0.001856086232893564
age_group_35-44,0.0018429962705512747
city_tier_Tier 3,0.0016526908392305467
acquisition_channel_Google Search,0.0016152203903763338
acquisition_channel_Referral,0.0014216393384191978
preferred_category_Fragrance,0.0013799222096053465
loyalty_tier_Gold,0.001334773841556152
acquisition_channel_Influencer,0.0010054442605196697
age_group_45+,0.0007344666176215214
preferred_category_Wellness,0.0006942795008111909
loyalty_tier_Platinum,0.00022429207351038283
